1,5,5.1.1 General
2,5,5.1.2 Customer focus
3,6,5.2.1 Establishing the quality policy
4,6,5.2.2 Communicating the quality policy
5,11,7.1.1 General
6,11,7.1.2 People
7,11,7.1.3 Infrastructure
8,11,7.1.4 Environment for the operation of processes
9,11,7.1.5 Monitoring and measuring resources
10,11,7.1.5.1 General
11,11,7.1.5.2 Measurement traceability
12,11,7.1.6 Organizational knowledge
13,15,7.5.1 General
14,15,7.5.2 Creating and updating
15,15,7.5.3 Control of documented information
16,17,8.2.1 Customer communication
17,17,8.2.2 Determining the requirements for products and services
18,17,8.2.3 Review of the requirements for products and services
19,17,8.2.4 Changes to requirements for products and services
20,18,8.3.1 General
21,18,8.3.2 Design and development planning
22,18,8.3.3 Design and development inputs
23,18,8.3.4 Design and development controls
24,18,8.3.5 Design and development outputs
25,18,8.3.6 Design and development changes
26,19,8.4.1 General
27,19,8.4.2 Type and extent of control
28,19,8.4.3 Information for external providers
29,20,8.5.1 Control of production and service provision
30,20,8.5.2 Identification and traceability
31,20,8.5.3 Property belonging to customers or external providers
32,20,8.5.4 Preservation
33,20,8.5.5 Post-delivery activities
34,20,8.5.6 Control of changes
35,23,9.1.1 General
36,23,9.1.2 Customer satisfaction
37,23,9.1.3 Analysis and evaluation
38,25,9.3.1 General
39,25,9.3.2 Management review inputs
40,25,9.3.3 Management review outputs
